7,5,39,24,31
12,43,17,26,48
8,29,51,58,41
23,57,42,31,50
40,59,21,39,55
33,6,46,44,26
52,40,48,18,30
27,68,12,43,29
20,15,31,40,29
57,62,69,49,48
57,32,30,42,56
20,31,56,64,60
56,62,54,63,4
9,47,20,25,68
12,2,17,20,65
50,53,7,16,25
26,4,32,55,64
66,37,22,14,45
40,17,46,69,41
37,57,47,50,52
53,16,69,58,29
47,2,66,67,6
14,18,19,64,32
47,33,68,27,13
16,46,10,56,7
62,2,30,19,14
9,42,10,55,32
30,68,59,41,28
67,16,63,38,55
65,40,44,59,27
12,61,54,38,36
42,15,6,5,29
47,2,63,62,11
32,16,19,57,34
8,27,34,4,19
61,52,51,64,3
44,5,39,69,47
32,22,40,69,34
40,52,3,67,12
16,5,12,31,43
26,60,67,31,28
13,4,36,31,52
2,62,40,50,3
7,15,36,18,19
29,27,7,40,17
54,12,11,16,15
67,21,65,31,64
22,11,53,21,10
62,52,13,12,44
3,34,27,59,69
32,34,14,23,68
28,11,50,57,62
46,50,12,13,10
11,60,23,54,43
22,15,49,5,8
23,42,68,52,11
55,24,63,53,44
9,61,28,40,30
65,28,49,60,4
14,23,41,61,22
30,35,38,33,64
32,3,25,51,18
62,30,12,25,52
46,62,59,35,19
25,39,64,2,33
32,16,3,34,12
47,69,30,66,57
25,66,44,5,26
69,32,52,66,20
64,27,65,13,47
25,67,39,23,54
9,32,5,7,23
64,24,59,41,11
6,34,33,59,58
40,69,33,23,30
20,16,43,64,22
37,69,12,25,60
36,58,27,41,20
33,4,24,31,22
53,2,23,63,41
14,42,43,52,40
36,3,56,69,27
29,37,23,64,60
63,39,59,34,10
66,57,2,31,24
32,28,10,64,61
57,15,29,3,54
11,50,40,17,62
6,58,66,25,35
39,5,35,7,23
10,47,68,65,50
32,21,17,23,11
66,27,11,9,67
52,33,47,36,20
64,56,61,23,67
44,38,64,69,60
44,49,33,50,52
68,3,21,6,60
25,11,9,65,64
48,32,63,4,49
10,56,24,61,5
39,59,7,67,50
23,55,33,22,29
3,17,49,68,55
10,31,23,28,11
51,19,9,62,55
63,67,1,69,28
15,7,29,41,20
30,53,62,38,52
12,64,50,61,2
60,29,18,27,8
3,64,68,61,54
34,44,30,16,37
64,49,57,23,67
43,63,16,38,10
1,55,33,28,56
48,56,2,16,3
42,48,20,21,19
18,54,61,13,37
31,50,69,21,51
28,31,54,25,1
20,8,27,52,17
28,61,63,41,65
24,61,43,16,28
7,61,41,47,32
21,17,37,44,19
3,45,25,14,18
27,26,33,8,10
49,64,48,41,53
32,21,12,44,66
39,18,66,37,26
16,40,8,48,1
25,68,40,54,33
38,52,42,51,28
30,23,44,58,16
1,28,3,67,57
17,16,42,41,29
37,63,12,24,3
1,16,13,43,3
55,69,23,64,59
41,9,58,40,53
45,25,23,67,52
18,62,66,68,28
39,12,49,69,20
9,60,64,43,57
52,17,16,13,6
49,20,42,14,66
37,64,17,9,5
33,5,42,38,28
9,3,33,7,31
52,10,61,28,13
6,62,32,47,65
16,10,52,40,55
2,22,63,19,18
42,23,59,46,33
57,41,50,26,1
30,16,41,48,53
25,67,54,44,13
2,29,9,27,42
32,18,31,48,45
8,62,31,36,15
65,9,44,36,32
53,20,54,46,8
51,53,36,23,60
68,63,14,8,61
61,26,45,5,22
1,19,52,40,37
39,21,48,41,63
18,1,51,15,26
24,22,23,62,45
18,49,66,17,59
31,21,11,41,59
62,31,56,46,29
68,17,20,63,32
39,4,48,45,11
45,5,47,54,22
38,28,33,32,62
55,10,5,67,28
60,39,33,4,46
54,41,9,3,21
66,57,5,69,21
32,26,20,38,58
63,22,5,43,57
13,62,10,53,32
65,14,46,68,61
36,32,22,58,10
46,37,29,53,68
45,19,42,53,48
54,9,68,4,16
29,8,40,59,10
18,23,2,61,1
40,66,9,64,63
63,51,59,61,50
44,32,60,5,53
19,42,21,7,69
1,40,28,48,45
16,1,54,63,69
33,21,45,11,28
12,30,47,62,36
35,20,49,26,24
64,43,60,9,15
17,68,19,43,39
7,26,16,23,6
66,15,7,38,32
43,19,69,28,67
62,41,21,52,6
32,14,8,58,67
59,20,6,57,29
24,63,35,57,17
31,24,25,17,18
68,48,67,39,53
45,24,56,55,57
21,25,10,23,8
8,25,12,41,64
23,63,62,66,22
61,10,49,65,63
1,69,19,3,13
56,37,69,32,66
69,54,49,30,66
14,45,69,41,42
57,54,29,22,18
35,27,57,66,38
26,3,19,6,44
51,48,12,26,14
12,21,14,34,20
56,6,4,30,16
48,32,44,50,23
17,31,28,32,39
61,51,37,46,35
53,8,54,27,13
59,28,26,24,63
32,30,36,28,58
50,19,55,62,20
36,60,55,37,25
2,28,51,58,24
35,63,37,9,50
20,61,64,1,69
44,15,1,13,3
16,60,3,56,9
58,28,51,41,36
42,39,18,2,37
12,61,30,29,33
7,24,50,49,33
69,25,35,14,58
